time,tx_index,vin_sz,hash,vout_sz
1308754382,842869,1,e8689d559ac25b66743dba30d65c68443d6cf7126034c1876ccd0bc415994feb,2
1308754382,842873,1,cea64cc226dc6e6f64eb6bb3abc0d519ffa93103d59a0d43d637f30667d9f623,2
1308754382,842874,1,b19dd840464fab7d5918b51471adf482c1fdab37e622d5c70c1128eaab1fa184,2
1308754382,842875,1,1de298e4a2414e4c7db7f789b1f1bc22641e60b0a51e37fe98fad81c0edafa45,2
1308754382,842876,1,49ad7bffbd71f154eee816193d48516739c5af9d6eb2350feebbcddd3deb487c,2
1308754382,842877,1,3ed77459da0eb46a01e3c377e9b49ce50ac232b472bd3324627370869055ed2e,1
1308754382,842878,1,e35efc232dea9f379f7f78e253cde24184f054002c0ddf56701ffa333ec01b1e,2
1308754382,842879,1,45db3122b716e4b69629b35ad7e3fa8a15b069d05e642fe18b44aa59fe069bc8,2
1308754382,842880,1,265197b6bfa46a4e7264a74fc31d1d9cc40cfef30dc1f55f7aa695010e344a1b,2
1308754382,842881,1,2dc00f8b887260080ecd2bcee6729220d46d26510acef5a0ddb5d5e635e3493c,2
1308754382,842884,1,a364e798fc944a50980c63c51460c56eeca2d132bb2161b9fddb0a1053e8cf19,2
1308754382,842882,1,c9e58a0e7aa3ba11706e08df8fb907771ffe3574379cd9490c917dad42db61a2,2
1308754382,842883,1,602905f6325fbdd87300567d914e8236d06c12fab99cecb8eb8a50ba00f15012,2
1308754382,842885,1,56422fe8b8fad631bb3861fa1ead2e202bb3e92798576feee8a9331948777347,2
1308754382,842886,8,35d8f4f5338f9a3b2631db0e0eb65e18ac81128da00d4ba39aa6d61b4313846b,2
1308754382,842887,1,2718b73d5e8bc37d1062fcb5f20bc1e6231a874c8c6fd510174742561ab2b9a1,2
1308754382,842913,1,41058bcb4e0c127643a412b5e317a01035dcfa09cf81906ddac4a397c46e87b9,2
1308754382,842888,1,251ebe77c6e0f0c6aa3a67b85414500c4aebc4bbe585dddac0ff92160fef9a70,2
1308754382,842890,1,cedd3d40b5aaa6a469c87a1ea037296c6a198f83cc69f620456a7d8799f3d036,2
1308754382,842894,4,7639de3a0a60784dd1486e9e0fa80740420eecd7e59794890f9f150d4552063e,2
1308754382,842889,1,11356deda6a0957bcfc5c52a56ddb9a773fea0b4864b9790d780b0db5eaa5ea5,2
1308754382,842912,1,bc58a26d1e5e67724cee276d7f3deeaf92e291de05ec85bcee20ba4f81494751,2
1308754382,842891,1,086053f1295f27f9eacfff6e0d24b13e9bda9907b8825b310b4c832c523c0369,2
1308754382,842903,1,1b510ab95b2bc7c74412e971ab860d2b0748e68f137626426f67ee293c70b304,2
1308754382,842892,1,c0cfba202873db9f57f714b8502d647bbea8dc28735d0d62546ef09213f58b38,2
1308754382,842895,1,0dd99d08d4af145c2e8789c648a7ddf7cec3eff4012f09c89672322f3b20d11d,2
1308754382,842893,1,9511cd9b082d767c3bb81ca5ea14e5c59d760c7e4ce7188698334ce2b393c5e1,2
