time,tx_index,vin_sz,hash,vout_sz
1305254068,519603,1,8b13e92b34efcca4403024af4332a776d3f9d46b5f4540396b39d86cca80a8a5,2
1305254068,519604,1,e0bcb7553bda44ea58fd75a25c12c4d951c90607c841fab5f9197178186d8336,2
1305254068,519610,38,f3cf148c3a72ab0e6f3279bf26070722bd3d664704971300a107c18dc611b786,1
1305254068,519605,2,fe20e885d1370bea3b52fa6dccd4f305a8bfce2ee71eceea89cf04aa9fda9d44,2
1305254068,519606,1,d6e2f71b93084e8d434623497cc262696f282543417e0b2caefd9f6910c168b9,2
1305254068,519607,1,a3bcfb912c8865ffb4c94e4c1c798f80fbc412558cd27bd8e183aad6cd477a18,2
1305254068,519612,2,5aa119f7c93351cf311f7240132263f821d5b243e3f9a0ad34526c348992a5cf,1
1305254068,519609,1,a5bcc92ec43500d6391ff5aea5e7725a1b8703d2207663fa0da8ddc3e08dac47,2
1305254068,519608,1,c89a381cfaf8ba81eeb64451ca0a29119cc1fbef448df226966ccc9322ff6cf6,2
1305254068,519611,1,0067a3c357d329ae7778e894cea7d288a7b725bf80fe974c55a39fdb6f00e157,2
1305254068,519613,1,55236f03f9eb953748e0024781cf7e1596959ebcf88ab31355695036a6015488,2
1305254068,519614,2,bc2701d6c0331f38c804f554b56ed0887d42295de957d7120f56b3647463cfdf,2
1305254068,519615,1,b0f4e2d263b1a18b08bc239c47278fcc627ade243304ce7721b02ee9fba848f9,2
1305254068,519622,1,27eb88c1a1121d2b5f5bdf002ce2d4c6dd1244aa023b9d6d71d970ab9c30225d,2
1305254068,519621,1,a99d5f939fb253574fa6ef198f997c37b1375d52ae8531a55d0fff68b44e013a,2
1305254068,519616,1,66f7bd285d79f96bc8be94013001f1f1cd9eb6d7f26e68b900af0a6e5d90fe1f,2
1305254068,519617,1,de69f092421282b1d001873d9bb72c9edd62e64def422d835b40f0a80c61aee9,2
1305254068,519618,1,b6075682aff3bac3d1aeb63e9fe15784507785d2cc799f7ed08e19beaccbae74,2
1305254068,519619,1,c49869b430999f9128505f5991b52f0f8c38adb56e9e1772081c3ceb1c190c49,2
1305254068,519620,1,d6252137e4075d9077d648be4e52d6aa1b0519bfcd9dba59e002cb61339caf69,2
1305254068,519626,1,8f143170749e030bb24201a96518d1875c9f435f5447aed669d4b959e9e6f441,2
1305254068,519628,1,489b2a5e935062fafae735a5424bb399c68446582a31251ca38008774aad4a6b,2
1305254068,519623,3,6b7ef976dc3e78fe1f2eac23007052c8249f16518867b2b1412d88ce5fb68718,1
1305254068,519625,16,c52a2164e3dd381f0095b7e9bd1c9ba347bd7d8199ce406af97c36a267808baa,2
1305254068,519624,2,d31a75ddc30e1b9f7740b5f8eb202106ac0420a59de211cb49f94d9836a844b4,2
1305254068,519629,1,f5ffa6e248e29bb59c73b9ff5c539a18b334d137367789d7749adadeed44ab71,4
1305254068,519627,1,28e458c3d4f6787491e5761ca3f2b5f1c1258fc8aadfb79cf3b428fecbe57014,2
1305254068,519630,1,b97b30e2ad5c384695748b3f6b2b39906fe2dfba1c2402480f4104627f213f0d,5
1305254068,519631,1,9f66376658f583977a5f2b842512bae9cfda26ef628ee8a158fac39d3d8a4049,4
1305254068,519632,1,3a0b5ccacad25c0f551e9347b0f2ef0b9b579b99b42fee682faf7dec9c32af11,4
1305254068,519633,1,3a447905ede6b8e15e96aeac30dcfee48cc14e53ab5e5755a17d5eb334c618d7,3
1305253573,519592,1,10b73240471c6e06300c7f8138b59659d04143065640244790d6a18ac594cb31,1
1305253573,519566,1,5da49a378da7b8d6b32482163e91603ebe96131031aac789d4103d93b13fd1a7,2
1305253573,519567,2,2bffdd830db244c30cb277b3179508559ebaf109c238fbf9655148c067293df6,2
1305253573,519569,1,58fba5b9342980690a1f5827f466275fb06ae8e239ec47acfa8a77bc09bfa1f0,2
1305253573,519568,1,9ca43278b4926625f0c5e32aaef410240a72eac45f5bcd786628122a36a499d2,1
1305253573,519570,1,dcb0ddd230ec4fbbf0a37b47761cebd208d67fcb98186923a37bcac8806ba8a6,2
1305253573,519571,1,c42437ad96c44c836e8920c5af77d54363f824880f592bda772861c1d835f352,1
1305253573,519572,2,c1e087f9a4ba767b74e11c17ba1c9d68a341a445689c5c6d72414b0e96ce89b9,2
1305253573,519575,1,7bc1ce7cf7867340536e3a36326f1f563cd952165106dac46dc8c09cf0da530b,1
1305253573,519574,2,2970fa597662c24f6cf8ddea35bc61bce9fb105f7cbc5363d1e199240824fc4c,1
1305253573,519576,1,5820788287521f95d7178f66e1e4eb3e90b56722834081b72ac0fd070e385be3,1
1305253573,519573,5,c82c74e88c713e6c39bfb4edf801a921569a25144f1efc1615ea8e59e53353f7,2
1305253573,519578,1,1f1f041988b005a080b3d700a87b76e6d767a5ff9c0446d9e3884c645658e13c,1
1305253573,519577,1,277d05617be00fee49a4bd880b8a22b87555a422916e3a73d30265fa024c555f,1
